distance_m,num_walls,num_users,interference_level,frequency_band,signal_strength_dbm,throughput_mbps,latency_ms
47.62,4.0,3,low,5GHz,-88.22,,22.03
40.78,2.0,26,low,5GHz,-80.28,28.01,36.34
35.72,4.0,9,low,5GHz,-90.31,12.61,24.25
38.81,2.0,21,low,2.4GHz,-70.34,18.57,24.27
17.3,5.0,20,low,2.4GHz,-73.67,14.59,24.42
15.15,1.0,45,low,5GHz,-60.55,55.35,182.96
19.38,5.0,42,medium,5GHz,-85.58,8.3,124.94
9.49,2.0,22,low,2.4GHz,-53.0,31.17,22.72
37.44,3.0,39,medium,5GHz,-85.35,8.37,94.88
24.01,0.0,31,medium,5GHz,-61.54,51.27,42.48
44.35,0.0,28,low,5GHz,-70.25,46.0,34.32
43.98,6.0,43,medium,2.4GHz,-90.06,4.25,147.56
8.21,0.0,32,low,2.4GHz,-45.04,29.54,37.92
11.33,3.0,11,medium,5GHz,-69.9,64.3,22.04
20.83,3.0,20,medium,2.4GHz,-66.87,25.66,23.53
6.38,4.0,21,low,5GHz,-63.24,73.67,19.35
34.63,0.0,43,low,2.4GHz,-65.66,16.53,128.19
37.01,1.0,8,low,5GHz,-75.81,67.62,13.4
36.21,2.0,24,medium,5GHz,-77.97,19.86,39.55
23.78,6.0,28,low,2.4GHz,-80.5,13.03,39.24
42.24,2.0,48,high,5GHz,-83.36,6.23,500.0
30.49,3.0,40,medium,2.4GHz,-78.08,8.03,98.3
49.68,4.0,14,low,2.4GHz,,11.99,21.15
40.86,2.0,3,low,2.4GHz,-70.38,44.27,8.66
36.25,5.0,7,low,2.4GHz,-77.28,20.06,19.19
6.6,4.0,4,medium,2.4GHz,-58.17,58.3,12.62
41.71,3.0,21,high,2.4GHz,-76.57,8.96,42.07
15.63,2.0,38,medium,5GHz,-65.62,45.57,76.45
21.24,1.0,33,low,5GHz,-65.17,47.53,43.24
23.41,6.0,36,low,2.4GHz,-80.88,6.07,64.59
16.9,0.0,27,high,5GHz,-65.1,33.62,47.34
5.87,1.0,21,low,2.4GHz,-46.12,41.05,17.59
10.37,1.0,42,medium,5GHz,-59.16,56.6,113.57
40.27,5.0,19,low,5GHz,-92.77,9.2,31.25
32.79,4.0,30,low,5GHz,,5.3,45.82
47.17,6.0,15,low,2.4GHz,-85.43,6.89,29.0
41.14,5.0,19,low,2.4GHz,-84.05,5.08,24.08
20.41,3.0,4,low,2.4GHz,-66.48,55.31,9.97
39.42,0.0,31,medium,5GHz,-70.35,39.19,51.08
29.03,6.0,26,low,5GHz,-95.0,0.5,43.49
14.67,4.0,16,medium,2.4GHz,-70.47,18.79,24.33
48.77,0.0,31,low,2.4GHz,-64.23,20.55,39.39
46.46,6.0,7,medium,5GHz,-95.0,5.66,34.62
6.05,4.0,44,low,2.4GHz,-55.65,22.61,153.47
42.05,4.0,2,medium,2.4GHz,-84.47,20.23,20.35
4.35,2.0,28,low,5GHz,-47.15,102.32,29.38
46.48,2.0,14,low,5GHz,-80.76,32.76,20.66
31.4,2.0,8,medium,2.4GHz,-67.06,28.44,17.56
8.75,0.0,9,medium,5GHz,-51.65,134.27,12.27
40.95,3.0,16,medium,2.4GHz,-72.89,14.4,26.3
26.03,0.0,32,low,5GHz,-63.33,55.92,44.07
3.45,4.0,40,low,2.4GHz,-44.02,27.61,80.23
40.02,1.0,47,low,2.4GHz,-68.2,14.88,323.96
39.52,4.0,31,low,5GHz,-89.28,11.56,48.8
24.36,2.0,25,medium,2.4GHz,-70.37,15.58,34.59
36.69,1.0,39,medium,5GHz,-75.43,21.73,88.52
2.49,1.0,41,low,2.4GHz,-34.54,34.34,97.09
16.25,2.0,21,medium,5GHz,-68.33,52.06,26.0
33.82,0.0,21,medium,5GHz,-69.05,46.22,25.53
11.91,1.0,4,medium,2.4GHz,-55.32,62.88,14.02
22.8,3.0,1,high,5GHz,-80.1,82.07,30.01
46.63,4.0,45,low,5GHz,-93.76,0.5,199.4
41.42,3.0,44,low,2.4GHz,-75.02,11.3,160.56
28.12,0.0,18,low,2.4GHz,-58.3,30.45,14.78
29.05,5.0,48,low,5GHz,-91.14,0.5,498.29
44.41,2.0,5,medium,2.4GHz,-74.18,26.31,19.9
43.22,4.0,48,medium,5GHz,-93.61,2.42,500.0
4.87,6.0,30,low,2.4GHz,-62.27,26.65,33.71
23.55,0.0,27,medium,5GHz,-59.39,61.76,30.54
9.95,6.0,38,low,2.4GHz,-69.0,8.29,69.92
4.62,6.0,12,low,2.4GHz,-60.77,40.17,8.77
14.97,3.0,24,high,2.4GHz,-67.18,14.76,38.09
30.73,0.0,12,low,2.4GHz,-62.5,31.84,12.09
39.82,1.0,31,medium,5GHz,-76.88,32.26,51.89
45.67,1.0,21,low,2.4GHz,-65.86,21.28,22.43
21.44,4.0,21,low,5GHz,-81.55,28.76,29.25
21.4,4.0,38,low,5GHz,-83.07,16.1,80.7
8.09,3.0,41,medium,2.4GHz,-59.75,21.7,97.08
10.14,2.0,43,low,2.4GHz,-53.49,21.73,126.27
5.57,0.0,40,low,5GHz,-42.7,91.88,83.64
48.81,6.0,9,low,5GHz,-95.0,3.79,27.05
6.82,6.0,36,low,2.4GHz,-62.84,15.73,57.22
37.95,0.0,36,low,2.4GHz,-60.94,17.62,59.04
16.23,2.0,1,low,2.4GHz,-61.16,118.13,2.94
27.09,6.0,10,low,2.4GHz,-82.77,13.19,21.49
43.7,2.0,26,low,2.4GHz,-72.04,17.9,31.83
46.84,4.0,16,low,5GHz,-91.24,10.88,33.79
12.39,3.0,40,high,2.4GHz,-64.75,9.41,98.03
45.61,4.0,39,low,2.4GHz,-80.19,2.67,84.29
12.98,6.0,13,medium,2.4GHz,-72.72,14.25,23.75
40.34,,1,medium,5GHz,-83.19,81.44,21.95
1.25,5.0,13,low,2.4GHz,-42.36,55.12,8.67
26.99,3.0,46,medium,2.4GHz,-68.65,7.74,241.06
36.43,1.0,46,low,2.4GHz,-63.32,21.44,235.64
42.03,0.0,26,high,5GHz,-76.2,19.68,50.24
42.14,5.0,43,medium,5GHz,-95.0,6.32,147.62
15.29,4.0,29,medium,2.4GHz,-71.11,10.91,42.96
42.73,6.0,50,high,2.4GHz,-87.54,0.5,500.0
16.52,1.0,8,high,5GHz,-65.59,69.11,27.8
12.07,4.0,25,low,5GHz,-73.19,41.52,31.49
0.57,0.0,10,high,5GHz,-20.0,179.62,21.15
12.17,0.0,7,medium,2.4GHz,-49.53,56.64,14.69
6.36,4.0,8,low,5GHz,-64.06,116.59,10.31
33.91,3.0,1,medium,2.4GHz,-73.19,57.71,21.18
7.67,4.0,48,medium,2.4GHz,-57.94,13.92,485.86
29.48,5.0,36,medium,2.4GHz,-78.38,9.94,70.7
6.76,5.0,25,low,2.4GHz,-62.4,20.65,23.38
35.37,1.0,41,medium,5GHz,-72.2,28.9,104.84
14.63,1.0,29,medium,2.4GHz,-58.91,17.2,35.45
15.78,3.0,22,high,5GHz,-77.87,23.84,42.31
32.2,6.0,25,medium,2.4GHz,-84.8,0.5,42.74
46.98,4.0,22,high,2.4GHz,-87.21,1.5,50.35
49.58,1.0,21,high,5GHz,-83.71,9.52,46.21
18.18,4.0,43,medium,5GHz,-83.91,12.28,144.49
47.34,2.0,49,low,5GHz,-83.71,13.84,500.0
30.81,0.0,10,medium,2.4GHz,-62.82,35.33,12.14
45.37,4.0,37,high,2.4GHz,-82.54,4.55,85.78
1.88,1.0,4,low,2.4GHz,-27.13,132.41,2.36
2.14,5.0,40,medium,2.4GHz,-47.72,24.65,86.02
4.19,3.0,49,high,2.4GHz,-49.34,17.8,500.0
40.32,3.0,37,medium,5GHz,-89.65,8.03,84.12
7.33,1.0,28,high,5GHz,-52.05,57.61,40.48
9.24,2.0,48,medium,5GHz,-61.94,45.43,485.45
29.48,2.0,39,high,5GHz,-75.98,18.04,97.57
47.89,4.0,40,high,2.4GHz,-86.71,0.5,113.54
28.57,2.0,48,medium,5GHz,-74.85,20.3,492.52
36.76,0.0,28,medium,2.4GHz,-67.07,15.24,43.03
9.79,0.0,41,high,5GHz,-56.37,41.57,107.82
45.75,1.0,45,medium,2.4GHz,-66.27,12.77,195.08
3.27,3.0,24,medium,2.4GHz,-48.49,35.6,26.1
14.5,2.0,37,medium,5GHz,-67.07,40.02,68.44
22.96,6.0,33,low,5GHz,-95.0,5.09,60.58
11.7,1.0,50,high,2.4GHz,-57.67,14.08,500.0
33.36,2.0,32,low,5GHz,-72.68,40.1,46.43
34.1,2.0,37,low,2.4GHz,-67.82,12.71,65.78
10.99,1.0,47,low,5GHz,-56.88,60.88,315.15
0.93,6.0,1,medium,5GHz,-52.11,402.83,9.76
4.18,1.0,8,high,2.4GHz,-45.91,41.54,19.72
0.52,0.0,17,medium,2.4GHz,-20.0,60.11,19.03
45.32,3.0,35,low,2.4GHz,-74.41,9.98,63.0
31.27,4.0,22,low,2.4GHz,-72.77,18.29,26.49
7.35,3.0,44,low,2.4GHz,-55.15,20.14,150.22
5.08,2.0,4,high,5GHz,-54.79,140.2,16.78
40.97,6.0,18,low,5GHz,-95.0,1.76,36.94
40.65,2.0,8,high,2.4GHz,-75.45,11.68,29.49
46.41,4.0,36,low,5GHz,-93.83,0.5,75.99
8.38,5.0,14,medium,2.4GHz,-65.17,23.95,16.7
26.35,2.0,13,high,5GHz,-77.83,30.39,37.1
6.51,3.0,31,low,2.4GHz,-49.72,26.5,34.58
39.88,2.0,5,medium,2.4GHz,-73.17,28.06,20.26
20.92,4.0,47,low,2.4GHz,-68.95,19.38,321.66
34.94,3.0,2,medium,5GHz,-84.89,45.03,20.32
2.0,5.0,18,high,5GHz,-63.09,52.14,33.32
39.01,1.0,27,low,5GHz,-72.89,42.04,34.79
11.86,1.0,1,high,2.4GHz,-53.82,98.02,15.62
42.22,2.0,3,low,5GHz,-78.12,87.04,16.36
9.7,4.0,50,medium,2.4GHz,-63.83,9.23,500.0
39.61,1.0,30,low,5GHz,-74.46,35.21,40.87
7.14,6.0,2,low,5GHz,-78.44,109.51,12.95
33.34,3.0,19,medium,2.4GHz,-72.72,21.23,29.46
39.07,5.0,17,medium,5GHz,-95.0,0.5,36.12
19.62,3.0,1,medium,2.4GHz,-70.74,,13.16
12.59,2.0,29,medium,5GHz,-64.24,53.16,37.86
17.55,5.0,12,low,2.4GHz,-69.98,24.68,12.65
15.18,1.0,33,low,2.4GHz,-55.38,27.94,42.15
31.84,1.0,37,medium,5GHz,-72.56,31.25,69.61
2.71,5.0,21,medium,5GHz,-62.42,61.23,24.73
2.55,6.0,19,medium,5GHz,-62.39,70.91,19.98
14.74,2.0,32,medium,5GHz,-70.71,31.21,48.34
14.21,3.0,37,medium,5GHz,-72.88,28.85,74.11
9.26,3.0,20,medium,5GHz,-66.8,54.07,24.33
35.98,5.0,41,low,2.4GHz,-80.28,3.92,103.2
1.68,3.0,15,medium,2.4GHz,-38.82,46.88,17.05
46.25,4.0,40,medium,2.4GHz,-83.34,4.97,100.33
38.0,4.0,19,medium,2.4GHz,-80.17,9.23,32.75
20.45,5.0,34,high,2.4GHz,-80.22,7.26,71.76
43.02,0.0,50,medium,5GHz,-72.04,32.75,500.0
31.1,4.0,38,high,2.4GHz,-76.86,6.49,92.54
28.73,1.0,16,low,2.4GHz,-61.83,29.69,12.11
15.99,0.0,29,high,5GHz,-63.46,39.19,47.22
33.32,5.0,11,medium,5GHz,-95.0,0.5,35.87
7.41,2.0,24,medium,2.4GHz,-52.95,29.49,24.95
26.48,5.0,31,high,2.4GHz,-82.65,2.47,62.12
6.25,6.0,4,high,2.4GHz,-68.79,34.15,22.84
22.53,0.0,20,low,2.4GHz,-53.94,32.36,17.27
31.01,3.0,49,low,5GHz,-84.62,11.99,500.0
8.2,0.0,50,medium,2.4GHz,-46.22,26.02,500.0
11.49,5.0,43,low,5GHz,-82.06,16.66,137.98
40.76,6.0,36,low,5GHz,-95.0,3.74,73.35
13.16,6.0,34,low,2.4GHz,-72.94,14.83,52.21
5.23,6.0,27,low,2.4GHz,-59.11,23.58,27.21
16.87,2.0,33,medium,5GHz,-65.74,50.36,51.32
46.79,1.0,12,low,2.4GHz,-68.7,21.19,16.76
34.84,6.0,29,medium,2.4GHz,-82.37,5.24,46.86
28.98,4.0,28,low,5GHz,-84.4,15.14,43.27
42.1,2.0,5,medium,2.4GHz,-72.34,32.0,20.83
33.18,1.0,15,high,5GHz,-78.66,23.41,34.9
40.65,0.0,16,low,2.4GHz,-61.22,26.79,14.25
33.03,0.0,35,high,5GHz,-70.15,27.18,67.67
43.28,4.0,17,high,5GHz,-95.0,3.67,46.24
31.39,1.0,11,low,2.4GHz,-65.75,29.29,14.11
13.61,5.0,40,low,2.4GHz,-69.22,11.52,86.89
2.54,5.0,26,low,2.4GHz,-50.14,33.21,27.11
5.71,3.0,31,high,5GHz,-63.4,34.64,50.18
25.87,2.0,17,low,2.4GHz,-63.99,28.21,14.29
48.6,1.0,20,low,5GHz,-76.92,35.95,23.43
38.09,1.0,29,low,2.4GHz,-65.75,17.75,35.2
38.88,4.0,17,low,2.4GHz,-79.41,14.73,26.34
33.36,5.0,48,high,2.4GHz,-81.94,5.82,500.0
45.22,5.0,43,high,2.4GHz,-85.83,0.5,156.52
36.91,6.0,49,low,2.4GHz,-79.12,6.0,500.0
13.29,4.0,40,medium,2.4GHz,-68.81,11.53,92.6
25.22,3.0,5,medium,5GHz,-83.07,39.3,22.55
20.51,2.0,41,low,5GHz,-72.62,33.78,102.12
8.69,2.0,13,medium,2.4GHz,-52.29,38.54,15.72
11.51,2.0,20,high,2.4GHz,-63.85,16.17,33.47
14.62,6.0,21,medium,2.4GHz,,13.15,33.48
9.1,3.0,24,medium,2.4GHz,-61.94,16.04,30.9
11.26,1.0,41,medium,2.4GHz,-54.13,24.06,99.08
45.86,1.0,29,medium,5GHz,-77.62,25.2,46.51
17.49,0.0,27,medium,5GHz,-58.24,60.54,33.44
41.46,5.0,10,high,2.4GHz,-86.77,0.5,40.97
3.69,1.0,40,medium,2.4GHz,-43.49,27.07,88.66
49.1,0.0,19,low,5GHz,-70.1,55.88,22.4
38.36,2.0,34,medium,5GHz,-80.96,16.36,62.12
45.38,3.0,25,low,2.4GHz,-75.14,13.25,32.0
26.53,6.0,33,medium,2.4GHz,-83.6,6.95,56.32
31.91,6.0,34,low,5GHz,-95.0,0.5,64.52
18.36,1.0,28,low,5GHz,-61.28,60.93,28.01
21.89,3.0,23,low,2.4GHz,-68.36,19.5,23.54
37.66,5.0,36,high,5GHz,-95.0,1.7,86.31
2.97,5.0,8,high,2.4GHz,-54.18,35.71,23.32
2.31,3.0,49,medium,2.4GHz,-46.31,20.96,500.0
43.81,1.0,22,medium,5GHz,-79.44,24.74,30.64
5.95,5.0,50,medium,2.4GHz,-62.33,18.22,500.0
36.19,3.0,27,medium,2.4GHz,-76.7,7.97,41.65
10.38,1.0,7,low,5GHz,-53.55,168.91,8.35
18.63,4.0,33,low,5GHz,-77.33,28.1,50.42
15.03,6.0,26,medium,2.4GHz,-73.17,15.18,35.06
24.77,6.0,43,low,5GHz,-95.0,0.5,142.88
41.42,6.0,42,medium,2.4GHz,-84.08,4.56,130.72
43.84,4.0,12,high,5GHz,-95.0,0.5,47.44
11.49,5.0,39,medium,5GHz,-80.34,20.58,89.91
17.21,1.0,28,medium,2.4GHz,-58.9,18.02,35.9
41.93,2.0,23,low,5GHz,-76.89,31.55,30.88
4.94,1.0,21,low,2.4GHz,-41.22,43.49,15.21
6.29,0.0,34,low,2.4GHz,-38.18,37.64,44.07
24.24,5.0,35,low,2.4GHz,-76.62,5.33,57.7
39.61,3.0,44,high,5GHz,-88.32,8.5,180.15
17.13,3.0,44,high,2.4GHz,-66.93,9.36,170.17
3.94,0.0,13,medium,5GHz,-37.35,152.25,14.42
48.41,1.0,24,medium,5GHz,-80.46,21.79,38.88
46.98,0.0,50,low,2.4GHz,-65.68,16.62,500.0
32.77,3.0,43,low,2.4GHz,-70.16,10.74,132.86
34.25,4.0,23,low,2.4GHz,-73.89,18.19,30.61
46.72,0.0,1,high,2.4GHz,-72.39,48.95,25.37
32.37,4.0,12,medium,2.4GHz,-79.45,8.58,21.81
39.53,0.0,46,low,2.4GHz,-60.57,13.88,231.64
23.44,5.0,36,low,5GHz,,8.86,66.21
11.79,6.0,40,low,5GHz,-81.72,12.42,95.64
41.71,4.0,39,low,5GHz,-87.17,4.92,88.24
34.38,3.0,7,low,2.4GHz,-71.66,26.92,13.77
14.83,5.0,30,low,2.4GHz,-72.22,18.24,39.04
31.35,1.0,34,high,2.4GHz,-66.39,15.2,67.22
40.92,6.0,5,low,5GHz,-95.0,6.84,26.86
13.88,6.0,26,medium,2.4GHz,-70.79,11.77,36.56
38.52,4.0,14,low,5GHz,-91.39,10.28,28.51
4.08,6.0,49,low,2.4GHz,-55.54,22.0,500.0
31.43,2.0,13,low,2.4GHz,-69.52,25.4,13.27
49.95,6.0,16,medium,5GHz,-95.0,3.86,37.56
43.39,0.0,45,low,2.4GHz,-67.28,17.54,186.22
43.85,5.0,31,medium,5GHz,-95.0,0.67,64.61
34.18,2.0,48,low,5GHz,-77.29,23.51,490.63
23.33,6.0,27,high,2.4GHz,-84.62,4.83,55.42
34.02,3.0,10,low,5GHz,-82.54,29.21,22.12
16.4,1.0,12,medium,2.4GHz,-60.18,35.75,14.6
27.86,2.0,9,medium,2.4GHz,-69.0,23.18,17.97
27.21,6.0,41,high,5GHz,-95.0,0.83,127.42
27.41,5.0,2,high,5GHz,-95.0,7.17,35.94
20.89,2.0,38,medium,5GHz,-72.85,28.97,77.84
17.96,1.0,23,medium,2.4GHz,-58.34,20.7,27.91
16.85,0.0,28,medium,2.4GHz,-57.3,23.64,35.18
11.62,0.0,42,high,5GHz,-56.31,38.23,123.3
22.21,0.0,48,medium,2.4GHz,-60.93,17.16,492.26
6.33,,15,medium,2.4GHz,-47.78,45.09,20.96
45.13,1.0,47,low,2.4GHz,-67.35,15.91,322.66
3.95,0.0,46,low,2.4GHz,-38.77,31.13,231.35
41.95,5.0,41,low,2.4GHz,-77.64,12.93,104.78
12.44,6.0,7,medium,5GHz,-86.71,16.16,25.38
42.73,6.0,8,medium,5GHz,-95.0,2.79,28.23
36.15,5.0,2,low,2.4GHz,-74.68,49.59,12.91
46.09,0.0,45,medium,5GHz,-72.94,27.61,193.94
43.58,1.0,48,medium,5GHz,-80.58,16.87,498.42
35.2,5.0,16,medium,5GHz,-93.91,1.48,36.22
8.01,0.0,27,low,2.4GHz,-43.79,34.21,26.59
27.68,5.0,29,low,5GHz,-87.92,8.9,43.96
17.32,0.0,20,medium,2.4GHz,-55.58,26.81,17.2
44.35,0.0,49,low,5GHz,-71.11,33.97,500.0
43.68,5.0,48,medium,2.4GHz,-86.58,5.36,500.0
16.04,5.0,12,low,2.4GHz,-71.6,20.89,20.79
33.75,0.0,28,low,5GHz,-67.3,52.3,32.87
17.25,0.0,10,low,5GHz,-59.8,119.29,8.81
34.07,6.0,5,low,5GHz,-95.0,0.5,23.54
30.89,1.0,43,high,5GHz,-75.94,19.71,148.17
25.79,6.0,44,low,2.4GHz,-79.71,1.26,163.34
43.98,3.0,1,low,5GHz,-92.51,20.84,18.69
12.68,6.0,28,medium,2.4GHz,-75.41,,41.41
39.97,6.0,9,low,2.4GHz,-84.59,10.66,25.7
34.63,4.0,29,medium,5GHz,-92.03,6.48,54.6
14.42,0.0,17,medium,5GHz,-55.46,85.41,19.66
21.37,6.0,27,high,2.4GHz,-83.48,2.28,53.61
3.92,2.0,37,low,2.4GHz,-43.24,31.85,57.92
30.08,1.0,5,medium,2.4GHz,-65.06,41.88,13.61
44.45,4.0,25,low,2.4GHz,-76.56,13.79,31.41
6.33,2.0,18,low,5GHz,-53.54,108.03,15.92
7.03,5.0,20,low,5GHz,-75.11,41.99,23.17
23.99,1.0,47,medium,5GHz,-66.31,36.55,323.76
14.42,6.0,46,medium,5GHz,-87.51,6.58,256.65
14.21,0.0,33,medium,5GHz,-58.34,56.69,47.82
32.11,3.0,38,low,5GHz,-81.2,14.28,75.78
20.81,6.0,20,low,2.4GHz,-78.47,9.87,27.12
42.31,5.0,32,low,5GHz,-95.0,7.61,57.47
21.73,5.0,24,low,5GHz,-85.88,13.11,33.54
30.96,4.0,18,low,2.4GHz,-73.87,15.39,21.08
20.2,3.0,40,low,2.4GHz,-65.1,16.09,87.83
13.17,1.0,43,low,2.4GHz,-52.87,22.78,126.18
23.83,,18,medium,2.4GHz,-63.78,21.66,21.63
36.16,4.0,13,medium,5GHz,-89.94,6.28,28.83
47.66,2.0,21,medium,2.4GHz,-74.66,12.67,34.39
2.59,2.0,48,medium,5GHz,-44.28,71.37,484.6
26.83,4.0,39,low,5GHz,-85.04,9.35,86.34
31.98,4.0,14,high,2.4GHz,-80.69,9.59,33.7
4.74,3.0,32,medium,2.4GHz,-50.99,26.18,44.23
41.54,1.0,42,medium,2.4GHz,-72.23,6.27,119.07
14.16,1.0,18,high,2.4GHz,-59.93,22.42,30.14
43.81,1.0,46,medium,2.4GHz,-67.73,12.85,242.69
27.85,2.0,47,medium,2.4GHz,-68.35,8.52,326.76
8.03,6.0,12,low,2.4GHz,-65.53,29.46,12.48
37.09,2.0,31,medium,2.4GHz,-75.2,12.69,47.44
8.28,6.0,12,high,2.4GHz,-74.0,13.31,33.26
36.16,3.0,34,low,2.4GHz,-75.17,9.46,54.95
40.51,3.0,4,low,5GHz,-85.65,35.95,25.14
28.99,1.0,33,low,5GHz,-70.1,41.11,44.06
13.92,5.0,18,low,5GHz,-82.12,24.08,27.87
22.15,5.0,26,medium,2.4GHz,-76.14,9.88,41.33
26.64,6.0,26,medium,2.4GHz,-79.59,12.51,39.49
33.46,5.0,50,low,5GHz,-92.02,1.41,500.0
31.88,0.0,5,low,5GHz,-61.82,159.46,9.23
20.32,6.0,30,low,5GHz,-95.0,0.5,54.12
38.03,4.0,8,medium,2.4GHz,-78.62,14.56,19.52
38.69,3.0,33,low,2.4GHz,-73.93,12.99,50.77
34.97,1.0,22,low,5GHz,-70.65,53.64,28.63
13.97,3.0,9,low,5GHz,-71.59,77.65,15.58
23.74,5.0,10,medium,5GHz,-90.67,0.69,29.54
21.92,4.0,7,low,2.4GHz,-71.16,34.3,13.18
40.93,0.0,39,medium,2.4GHz,-65.09,11.52,83.1
40.5,5.0,46,high,2.4GHz,-83.83,0.5,262.57
43.37,5.0,17,low,2.4GHz,-85.74,1.14,27.31
11.94,4.0,20,low,2.4GHz,-63.9,26.65,16.37
37.55,1.0,3,high,5GHz,-74.87,72.2,26.78
43.58,2.0,9,high,2.4GHz,-74.69,13.15,31.2
8.74,3.0,8,medium,2.4GHz,-57.19,38.96,10.75
2.48,6.0,48,low,2.4GHz,-53.36,23.32,482.4
5.72,5.0,16,low,5GHz,,56.07,19.77
30.51,0.0,40,high,2.4GHz,-65.21,19.5,101.82
21.37,0.0,8,low,2.4GHz,-56.16,51.57,6.67
10.16,0.0,9,low,5GHz,-51.54,162.75,7.74
26.65,6.0,11,low,5GHz,-95.0,6.57,25.87
39.38,6.0,10,low,5GHz,-95.0,4.04,27.27
42.86,1.0,11,low,5GHz,-73.91,58.29,17.39
37.71,6.0,15,medium,5GHz,-95.0,6.13,34.7
44.33,3.0,21,low,2.4GHz,-71.6,17.33,27.0
30.41,2.0,10,low,2.4GHz,-68.24,32.62,12.73
41.94,5.0,27,low,2.4GHz,-77.63,10.09,36.13
21.15,0.0,19,medium,2.4GHz,-56.29,33.39,18.79
42.7,0.0,32,medium,5GHz,-77.43,25.16,52.01
44.84,1.0,30,low,2.4GHz,-72.27,11.62,38.56
34.48,4.0,46,low,2.4GHz,-75.57,12.18,244.23
21.84,5.0,32,high,5GHz,-91.84,4.03,71.09
14.44,3.0,35,low,2.4GHz,-60.59,19.67,50.25
16.6,3.0,42,low,5GHz,-70.53,36.29,113.07
7.05,4.0,10,low,5GHz,-66.51,89.63,8.35
2.83,0.0,44,low,2.4GHz,-35.18,33.14,150.1
21.01,4.0,23,medium,2.4GHz,-72.89,15.06,30.5
2.61,5.0,34,low,2.4GHz,-52.62,31.87,42.79
44.09,2.0,37,low,2.4GHz,-72.11,13.92,69.56
32.67,4.0,11,medium,5GHz,-87.44,13.76,28.86
42.26,2.0,28,low,5GHz,-77.01,30.23,33.53
22.5,,15,medium,2.4GHz,-80.88,9.77,25.83
11.59,1.0,9,low,2.4GHz,-51.42,56.32,9.25
14.87,0.0,45,low,2.4GHz,-54.44,19.61,182.9
42.81,6.0,40,high,5GHz,-95.0,0.79,116.12
6.53,3.0,10,low,2.4GHz,-54.06,49.84,8.76
35.06,2.0,10,low,5GHz,-78.27,44.2,16.05
11.67,5.0,5,medium,2.4GHz,-67.4,41.4,13.87
17.98,1.0,18,low,5GHz,-63.53,85.27,20.82
0.65,2.0,13,low,2.4GHz,-21.03,85.22,13.51
24.21,0.0,37,medium,5GHz,-64.42,41.51,66.38
6.85,3.0,21,medium,2.4GHz,-54.64,29.83,22.35
43.05,5.0,49,medium,5GHz,-95.0,3.69,500.0
5.34,6.0,29,low,5GHz,-71.01,41.58,38.44
12.89,3.0,45,medium,5GHz,-72.97,24.97,193.82
1.23,0.0,5,high,5GHz,-23.81,235.6,18.55
49.65,1.0,49,high,2.4GHz,-74.76,,500.0
32.25,1.0,17,medium,2.4GHz,-65.79,17.82,19.48
32.36,6.0,20,medium,2.4GHz,-85.6,3.11,33.54
26.18,4.0,30,medium,5GHz,-83.67,15.86,50.65
43.47,6.0,22,high,5GHz,-95.0,0.5,52.01
7.64,5.0,16,low,2.4GHz,-63.88,30.84,13.79
39.75,6.0,9,low,2.4GHz,-82.37,8.72,21.74
40.45,1.0,21,low,2.4GHz,-62.99,27.33,20.36
2.29,3.0,24,high,2.4GHz,-47.54,25.78,35.32
7.07,0.0,7,medium,5GHz,-48.5,164.89,13.66
27.58,2.0,40,low,5GHz,-71.22,35.93,91.23
4.96,2.0,9,high,5GHz,-56.98,88.74,21.75
14.48,1.0,4,medium,2.4GHz,-55.32,65.6,8.04
20.48,0.0,17,high,2.4GHz,-60.33,17.16,29.04
8.28,2.0,16,high,5GHz,-63.7,52.94,28.52
35.36,0.0,15,low,5GHz,-66.45,73.98,14.49
25.01,4.0,47,low,2.4GHz,-69.51,13.1,320.93
32.17,1.0,30,low,2.4GHz,-63.33,19.88,35.73
23.98,1.0,10,medium,2.4GHz,-65.09,31.2,15.0
20.92,,26,medium,5GHz,-62.39,,29.72
24.87,3.0,15,low,5GHz,-76.2,43.92,20.72
45.03,1.0,48,medium,2.4GHz,-66.99,12.22,494.46
20.1,4.0,47,low,5GHz,-79.23,17.34,334.44
32.29,6.0,30,low,5GHz,-93.48,0.5,50.58
41.78,5.0,18,medium,2.4GHz,-84.1,8.63,35.85
31.24,0.0,7,medium,5GHz,-65.77,95.16,16.74
11.69,0.0,42,medium,5GHz,-52.93,57.49,112.1
6.54,6.0,2,low,5GHz,,156.02,6.66
29.75,6.0,15,low,2.4GHz,-80.67,8.98,23.15
36.51,2.0,28,low,2.4GHz,-66.88,16.68,30.6
38.55,3.0,13,low,2.4GHz,-73.47,19.23,17.51
34.84,2.0,37,medium,5GHz,-81.12,15.13,75.77
0.67,4.0,10,medium,5GHz,-32.32,195.65,13.42
38.81,1.0,43,low,2.4GHz,-66.64,16.36,128.19
30.43,6.0,4,low,2.4GHz,-80.66,18.47,17.05
49.41,2.0,17,medium,5GHz,-86.39,17.1,33.84
38.35,1.0,21,high,5GHz,-76.65,22.92,41.71
21.8,2.0,50,low,2.4GHz,-65.66,19.65,500.0
33.97,6.0,36,medium,2.4GHz,-87.19,0.5,73.88
30.99,2.0,50,low,2.4GHz,-64.89,13.45,500.0
17.2,5.0,26,medium,2.4GHz,-73.12,7.53,36.36
26.91,5.0,47,medium,2.4GHz,-79.22,4.14,331.11
